FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TOPG,VI,ORTG,DRTG,RTG
Thanasis Antetokounmpo,Bucks,F,29.71,45,9.4,36,0.583,98,0.571,11,0.091,0.528,0.545,3,2.1,0.4,0.33,0.24,0.47,5.8,111.8,98.5,72
Carmelo Anthony,Lakers,F,37.85,68,26,157,0.828,322,0.525,391,0.376,0.546,0.581,13.4,4.1,1,0.66,0.75,0.85,5.8,114.5,108.2,79
Cole Anthony,Magic,G,21.89,65,31.7,253,0.854,521,0.432,391,0.338,0.464,0.519,16.3,5.4,5.7,0.71,0.26,2.62,10,103.1,107.4,78
OG Anunoby,Raptors,F,24.72,47,36.2,116,0.75,376,0.508,312,0.369,0.528,0.551,17.3,5.4,2.6,1.49,0.53,1.64,6.9,112.6,106.5,81
Ryan Arcidiacono,Knicks,G,28.03,8,5,0,0,2,0.5,4,0.75,0.917,0.917,1.4,0.5,0.1,0,0,0.13,3.3,146.7,117.7,69
Trevor Ariza,Lakers,F,36.76,24,19.3,18,0.556,25,0.52,74,0.27,0.434,0.449,4,3.4,1.1,0.5,0.25,0.46,5.1,97.3,112.7,72
D.J. Augustin,Rockets,G,34.4,34,15,38,0.868,40,0.4,96,0.406,0.548,0.596,5.4,1.2,2.2,0.29,0,1.32,6.5,107,119.5,73
D.J. Augustin,Lakers,G,34.4,17,17.3,1,1,15,0.6,56,0.5,0.718,0.721,6.1,1.4,1.4,0.29,0,0.47,5.3,134.1,114.6,73
Deni Avdija,Wizards,F,21.25,78,23.8,132,0.765,294,0.517,236,0.326,0.505,0.541,8.2,5.1,1.9,0.72,0.54,0.99,7.2,107.4,105.5,78
Deandre Ayton,Suns,C,23.7,56,29.5,140,0.743,648,0.644,17,0.353,0.641,0.658,17.1,10.2,1.4,0.7,0.66,1.59,8.5,124.3,99.8,86
Udoka Azubuike,Jazz,C-F,22.55,17,11.5,11,0.545,49,0.755,0,0,0.755,0.743,4.7,4.2,0,0.06,0.65,0.71,0,125,98.1,73
Marvin Bagley III,Kings,F,23.06,30,21.9,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,0.6,0.3,0.37,0.7,6.3,111,109,78
Marvin Bagley III,Pistons,F,23.06,18,27.2,54,0.593,165,0.624,35,0.229,0.575,0.585,14.6,6.8,1.1,0.72,0.39,1,7,115.7,107.3,78
LaMelo Ball,Hornets,G,20.62,71,32.3,236,0.869,658,0.462,530,0.379,0.51,0.548,19.9,6.7,7.5,1.58,0.42,3.17,12.4,110.8,105.3,86
